2012-12-11	Microcentro	Capital Federal	Desarrollador Java J2EE Sr/ SSr. CONTRATO TEMPORAL ( Zona Microcentro)		Enviar pretensiones por mail. Ref:Desarrollador Java J2EE	Inmediato	Incorporación permamente.	Tiempo Completo	Desarrollador Java J2EE Sr/ SSr. CONTRATO TEMPORAL	Kaizen Recursos Humanos	Maria Teresa Di Rico			Buenos Aires, Argentina	-34.6037232	-58.3815931	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1558264.htm	2012-12-15
2012-12-11	Monserrat	Capital Federal	Analista Funcional de Integración de Datos ( Zona Centro: Monserrat )		Enviar pretensiones por mail. Ref:Analista Funcional de Integrac	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.: Analista Funcional de Integración de Datos	Kaizen Recursos Humanos	Maria Teresa Di Rico			Monserrat - Buenos Aires, Ciudad Aut�noma de Buenos Aires, Argentina	-34.6125	-58.3833333	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1565412.htm	2012-12-15
2012-12-11	Monserrat	Capital Federal	Arquitecto de Integración de datos (Zona Centro- Monserrat)		Enviar pretensiones por mail. Ref: Arquitecto de Integración de	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Arquitecto de Integración de datos	Kaizen Recursos Humanos	Maria Teresa Di Rico			Monserrat - Buenos Aires, Ciudad Aut�noma de Buenos Aires, Argentina	-34.6125	-58.3833333	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1572560.htm	2012-12-15
2012-12-11	Nuñez-Coghlan	Capital Federal	Especialistas ETL SSr/Sr.( zona Nuñez-Coghlan )		Enviar pretensiones por mail. Ref: Especialistas ETL SSr/Sr.	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Especialistas ETL SSr/Sr.	Kaizen Recursos Humanos	Maria Teresa Di Rico			N��ez, Buenos Aires, Ciudad Aut�noma de Buenos Aires, Argentina	-34.5559988	-58.4779231	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1579708.htm	2012-12-15
2012-12-11	Capital Federal	Capital Federal	Desarrolladores C++ URGENTE!!!		Enviar pretensiones por mail. Ref:Desarrolladores C++ URGENTE!!!	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Desarrolladores C++ URGENTE!!!	Kaizen Recursos Humanos	Maria Teresa Di Rico			Buenos Aires, Argentina	-34.6037232	-58.3815931	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1586856.htm	2012-12-15
2012-12-11	Microcentro	Capital Federal	Analista programador cobol Db2 SSr ( Microcentro )		Enviar pretensiones por mail. Ref: Analista programador cobol Db	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.: Analista programador cobol Db2 SSr	Kaizen Recursos Humanos	Maria Teresa Di Rico			Buenos Aires, Argentina	-34.6037232	-58.3815931	2012-12-11	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1594004.htm	2012-12-15
2012-12-13	Microcentro	Capital Federal	Desarrolladores C++ SSr ( Zona C.A.B.A.) URGENTE!!		Enviar pretensiones por mail. Ref:Desarrollador C++ SSr.:	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Desarrollador C++ SSr.:	Kaizen Recursos Humanos	Maria Teresa Di Rico			Buenos Aires, Argentina	-34.6037232	-58.3815931	2012-12-14	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1601152.htm	2012-12-15
2012-12-13	Capital Federal	Capital Federal	Consultores ETL Sr./SSr.( zona Belgrano-Nuñez-Coghlan-Microcentro)		Enviar pretensiones por mail Ref:Consultores ETL Sr./SSr.	Inmediato	Incorporación permanente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Consultores ETL Sr./SSr.	Kaizen Recursos Humanos	Maria Teresa Di Rico			Buenos Aires, Argentina	-34.6037232	-58.3815931	2012-12-14	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1608300.htm	2012-12-15
2012-12-13	Monserrat	Capital Federal	Arquitecto de Integración de datos (Zona Centro- Monserrat)		Enviar pretensiones por mail Ref:Arquitecto de Integración de d	Inmediato	Incorporación permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Arquitecto de Integración de datos	Kaizen Recursos Humanos	Maria Teresa Di Rico			Monserrat - Buenos Aires, Ciudad Aut�noma de Buenos Aires, Argentina	-34.6125	-58.3833333	2012-12-14	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1615448.htm	2012-12-15
2012-12-13	Monserrat	Capital Federal	Analista Funcional de Integración de Datos ( Zona Cnetro: Monserrat)		Enviar pretensiones por mail Ref:Analista Funcional de Integrac	Inmediato	Incorporacion permamente.	Tiempo Completo	Enviar CV y pretensiones por mail. Ref.:Analista Funcional de Integración de Datos	Kaizen Recursos Humanos	Maria Teresa Di Rico			Monserrat - Buenos Aires, Ciudad Aut�noma de Buenos Aires, Argentina	-34.6125	-58.3833333	2012-12-14	http://www.computrabajo.com.ar/bt-ofrd-kaizenrh-1622596.htm	2012-12-15
